Global Batch Size: 4096
Micro Batch Size (B): 128
Number of GPUs: 8
Gradient Accumulation Steps: 4
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
RESUMING FROM STEP 10001 | New Max LR: 0.001
RESUME DEBUG: Batch Labels: tensor([586,  81, 235, 603, 408, 612, 803, 397,  16,  50])
RESUME DEBUG: Pixel Mean: -0.0127, Std: 1.1915
step 10001 | loss: 6.842347 | lr 8.2919e-04 | norm: 4.9667 | dt: 64493.22ms | img/sec: 63.51
step 10094 | loss: 6.789338 | lr 8.2485e-04 | norm: 7.2354 | dt: 1393.36ms | img/sec: 2939.65
step 10095 | loss: 6.830755 | lr 8.2480e-04 | norm: 4.3050 | dt: 1430.85ms | img/sec: 2862.63
step 10096 | loss: 6.785767 | lr 8.2475e-04 | norm: 17.9244 | dt: 1494.69ms | img/sec: 2740.37
step 10097 | loss: 6.793016 | lr 8.2471e-04 | norm: 6.0083 | dt: 1481.16ms | img/sec: 2765.41
step 10098 | loss: 6.794991 | lr 8.2466e-04 | norm: 4.3022 | dt: 4859.63ms | img/sec: 842.86
step 10099 | loss: 6.775393 | lr 8.2461e-04 | norm: 4.3119 | dt: 1298.15ms | img/sec: 3155.25
step 10100 | loss: 6.773145 | lr 8.2456e-04 | norm: 5.2942 | dt: 1336.36ms | img/sec: 3065.04
step 10101 | loss: 6.773757 | lr 8.2452e-04 | norm: 112.0319 | dt: 1473.82ms | img/sec: 2779.18
step 10102 | loss: 6.815546 | lr 8.2447e-04 | norm: 3.0126 | dt: 1394.69ms | img/sec: 2936.85
step 10103 | loss: 6.760551 | lr 8.2442e-04 | norm: 13.2829 | dt: 1352.34ms | img/sec: 3028.82
step 10104 | loss: 6.719142 | lr 8.2438e-04 | norm: 61.1854 | dt: 7833.89ms | img/sec: 522.86
step 10105 | loss: 6.784136 | lr 8.2433e-04 | norm: 3.0090 | dt: 1327.36ms | img/sec: 3085.83
step 10106 | loss: 6.766188 | lr 8.2428e-04 | norm: 17.7337 | dt: 1443.24ms | img/sec: 2838.05
step 10107 | loss: 6.781062 | lr 8.2424e-04 | norm: 6.2787 | dt: 5577.95ms | img/sec: 734.32
step 10108 | loss: 6.819566 | lr 8.2419e-04 | norm: 4.3614 | dt: 1394.38ms | img/sec: 2937.52
step 10109 | loss: 6.780229 | lr 8.2414e-04 | norm: 4.1300 | dt: 1530.71ms | img/sec: 2675.88
step 10110 | loss: 6.779323 | lr 8.2409e-04 | norm: 7.0967 | dt: 1580.15ms | img/sec: 2592.17
step 10111 | loss: 6.776768 | lr 8.2405e-04 | norm: 6.5768 | dt: 1645.77ms | img/sec: 2488.81
step 10112 | loss: 6.783738 | lr 8.2400e-04 | norm: 15.0690 | dt: 1589.24ms | img/sec: 2577.33
step 10113 | loss: 6.745381 | lr 8.2395e-04 | norm: 12.8228 | dt: 3040.77ms | img/sec: 1347.03
step 10114 | loss: 6.774466 | lr 8.2391e-04 | norm: 16.8713 | dt: 2305.32ms | img/sec: 1776.76
step 10115 | loss: 6.761347 | lr 8.2386e-04 | norm: 4.1655 | dt: 1417.50ms | img/sec: 2889.60
step 10116 | loss: 6.787507 | lr 8.2381e-04 | norm: 7.3665 | dt: 1461.85ms | img/sec: 2801.92
step 10117 | loss: 6.760499 | lr 8.2376e-04 | norm: 21.2935 | dt: 1459.04ms | img/sec: 2807.33
step 10118 | loss: 6.771486 | lr 8.2372e-04 | norm: 5.0569 | dt: 5765.87ms | img/sec: 710.39
step 10119 | loss: 6.812368 | lr 8.2367e-04 | norm: 2.6642 | dt: 1369.05ms | img/sec: 2991.86
step 10120 | loss: 6.755914 | lr 8.2362e-04 | norm: 26.6835 | dt: 1492.52ms | img/sec: 2744.35
step 10121 | loss: 6.781380 | lr 8.2358e-04 | norm: 94.8870 | dt: 1406.49ms | img/sec: 2912.21
step 10122 | loss: 6.758919 | lr 8.2353e-04 | norm: 9.3472 | dt: 1407.63ms | img/sec: 2909.85
step 10123 | loss: 6.789022 | lr 8.2348e-04 | norm: 2.8119 | dt: 1417.63ms | img/sec: 2889.33
step 10124 | loss: 6.781271 | lr 8.2344e-04 | norm: 6.1896 | dt: 1364.80ms | img/sec: 3001.18
step 10125 | loss: 6.769365 | lr 8.2339e-04 | norm: 4.6096 | dt: 5016.84ms | img/sec: 816.45
step 10126 | loss: 6.757566 | lr 8.2334e-04 | norm: 71.4463 | dt: 1312.47ms | img/sec: 3120.84
step 10127 | loss: 6.735394 | lr 8.2329e-04 | norm: 2319.7878 | dt: 7418.47ms | img/sec: 552.14
step 10128 | loss: 6.761208 | lr 8.2325e-04 | norm: 88.6118 | dt: 1393.86ms | img/sec: 2938.61
step 10129 | loss: 6.756597 | lr 8.2320e-04 | norm: 15.5050 | dt: 1374.89ms | img/sec: 2979.14
step 10130 | loss: 6.793025 | lr 8.2315e-04 | norm: 11.7513 | dt: 1416.95ms | img/sec: 2890.71
step 10131 | loss: 6.774885 | lr 8.2311e-04 | norm: 6.8696 | dt: 1331.68ms | img/sec: 3075.81
step 10132 | loss: 6.750894 | lr 8.2306e-04 | norm: 3.3941 | dt: 2150.84ms | img/sec: 1904.37
step 10133 | loss: 6.768538 | lr 8.2301e-04 | norm: 24.1053 | dt: 4967.56ms | img/sec: 824.55
step 10134 | loss: 6.778257 | lr 8.2296e-04 | norm: 13.5838 | dt: 1401.92ms | img/sec: 2921.70
step 10135 | loss: 6.813296 | lr 8.2292e-04 | norm: 870.4238 | dt: 3461.18ms | img/sec: 1183.41
step 10136 | loss: 6.764381 | lr 8.2287e-04 | norm: 3.1893 | dt: 1350.34ms | img/sec: 3033.30
step 10137 | loss: 6.739695 | lr 8.2282e-04 | norm: 75.6929 | dt: 1350.67ms | img/sec: 3032.57
step 10138 | loss: 6.799995 | lr 8.2278e-04 | norm: 5.7689 | dt: 6257.41ms | img/sec: 654.58
step 10139 | loss: 6.759302 | lr 8.2273e-04 | norm: 3.3583 | dt: 1327.61ms | img/sec: 3085.24
step 10140 | loss: 6.790583 | lr 8.2268e-04 | norm: 2.3164 | dt: 7408.97ms | img/sec: 552.84
step 10141 | loss: 6.781439 | lr 8.2263e-04 | norm: 7.5039 | dt: 1408.98ms | img/sec: 2907.08
step 10142 | loss: 6.775693 | lr 8.2259e-04 | norm: 5.3924 | dt: 1427.40ms | img/sec: 2869.56
step 10143 | loss: 6.771742 | lr 8.2254e-04 | norm: 12.6855 | dt: 1525.72ms | img/sec: 2684.64
step 10144 | loss: 6.780770 | lr 8.2249e-04 | norm: 2.2455 | dt: 1424.59ms | img/sec: 2875.21
step 10145 | loss: 6.811399 | lr 8.2244e-04 | norm: 2.9434 | dt: 1358.01ms | img/sec: 3016.18
step 10146 | loss: 6.757799 | lr 8.2240e-04 | norm: 3.6061 | dt: 1357.68ms | img/sec: 3016.91
step 10147 | loss: 6.782951 | lr 8.2235e-04 | norm: 7.5995 | dt: 1830.77ms | img/sec: 2237.31
step 10148 | loss: 6.756742 | lr 8.2230e-04 | norm: 4.3864 | dt: 1945.51ms | img/sec: 2105.36
step 10149 | loss: 6.790317 | lr 8.2226e-04 | norm: 3.7172 | dt: 6724.95ms | img/sec: 609.07
step 10150 | loss: 6.748175 | lr 8.2221e-04 | norm: 8.7931 | dt: 1384.24ms | img/sec: 2959.03
step 10151 | loss: 6.833798 | lr 8.2216e-04 | norm: 4.5059 | dt: 1524.83ms | img/sec: 2686.21
step 10152 | loss: 6.726346 | lr 8.2211e-04 | norm: 10.5957 | dt: 1527.11ms | img/sec: 2682.20
step 10153 | loss: 6.750034 | lr 8.2207e-04 | norm: 2.8053 | dt: 1486.24ms | img/sec: 2755.94
step 10154 | loss: 6.789266 | lr 8.2202e-04 | norm: 4.2640 | dt: 1480.62ms | img/sec: 2766.40
step 10155 | loss: 6.799262 | lr 8.2197e-04 | norm: 2.3504 | dt: 1401.82ms | img/sec: 2921.92
step 10156 | loss: 6.789011 | lr 8.2193e-04 | norm: 10.9001 | dt: 1456.16ms | img/sec: 2812.89
