Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,490,624 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 105139. Total tensors loaded: 152
step 105231 | loss: 2.447216 | lr 1.9830e-05 | norm: 0.4801 | dt: 2154.76ms | img/sec: 1900.90
step 105232 | loss: 2.538574 | lr 1.9826e-05 | norm: 0.4917 | dt: 2072.03ms | img/sec: 1976.81
step 105233 | loss: 2.484486 | lr 1.9822e-05 | norm: 0.4705 | dt: 2179.92ms | img/sec: 1878.97
step 105234 | loss: 2.432276 | lr 1.9818e-05 | norm: 0.4839 | dt: 2210.04ms | img/sec: 1853.36
step 105235 | loss: 2.472288 | lr 1.9815e-05 | norm: 0.4755 | dt: 2072.13ms | img/sec: 1976.71
step 105236 | loss: 2.458733 | lr 1.9811e-05 | norm: 0.4885 | dt: 2107.27ms | img/sec: 1943.75
step 105237 | loss: 2.517615 | lr 1.9807e-05 | norm: 0.4912 | dt: 2092.61ms | img/sec: 1957.36
step 105238 | loss: 2.508991 | lr 1.9803e-05 | norm: 0.4706 | dt: 2067.31ms | img/sec: 1981.31
step 105239 | loss: 2.523192 | lr 1.9799e-05 | norm: 0.4928 | dt: 2071.81ms | img/sec: 1977.02
step 105240 | loss: 2.543001 | lr 1.9795e-05 | norm: 0.4786 | dt: 2085.27ms | img/sec: 1964.26
step 105241 | loss: 2.497984 | lr 1.9791e-05 | norm: 0.4953 | dt: 2075.53ms | img/sec: 1973.48
step 105242 | loss: 2.503094 | lr 1.9787e-05 | norm: 0.4797 | dt: 2100.53ms | img/sec: 1949.98
