Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 93599. Total tensors loaded: 152
step 93687 | loss: 2.275383 | lr 4.2788e-04 | norm: 1.7077 | dt: 1654.30ms | img/sec: 2475.98
step 93688 | loss: 2.282235 | lr 4.3269e-04 | norm: 2.0866 | dt: 1650.04ms | img/sec: 2482.37
step 93689 | loss: 2.346468 | lr 4.3750e-04 | norm: 1.7758 | dt: 1707.67ms | img/sec: 2398.59
step 93690 | loss: 2.348421 | lr 4.4231e-04 | norm: 1.8372 | dt: 1657.03ms | img/sec: 2471.89
step 93691 | loss: 2.374201 | lr 4.4712e-04 | norm: 2.0363 | dt: 1653.11ms | img/sec: 2477.75
step 93692 | loss: 2.218157 | lr 4.5192e-04 | norm: 1.9173 | dt: 1651.79ms | img/sec: 2479.73
step 93693 | loss: 2.232697 | lr 4.5673e-04 | norm: 1.6602 | dt: 1717.64ms | img/sec: 2384.67
step 93694 | loss: 2.365172 | lr 4.6154e-04 | norm: 1.7897 | dt: 1656.07ms | img/sec: 2473.33
step 93695 | loss: 2.375192 | lr 4.6635e-04 | norm: 2.2300 | dt: 1649.50ms | img/sec: 2483.18
step 93696 | loss: 2.385498 | lr 4.7115e-04 | norm: 2.1742 | dt: 1738.58ms | img/sec: 2355.95
step 93697 | loss: 2.315660 | lr 4.7596e-04 | norm: 2.2754 | dt: 1659.91ms | img/sec: 2467.60
step 93698 | loss: 2.257256 | lr 4.8077e-04 | norm: 2.1905 | dt: 1677.61ms | img/sec: 2441.57
step 93699 | loss: 2.375967 | lr 4.8558e-04 | norm: 2.1692 | dt: 1661.30ms | img/sec: 2465.53
step 93700 | loss: 2.214031 | lr 4.9038e-04 | norm: 1.9617 | dt: 1658.66ms | img/sec: 2469.46
step 93701 | loss: 2.260877 | lr 4.9519e-04 | norm: 2.0214 | dt: 1656.24ms | img/sec: 2473.07
step 93702 | loss: 2.335308 | lr 5.0000e-04 | norm: 1.7786 | dt: 1652.98ms | img/sec: 2477.95
step 93703 | loss: 2.399691 | lr 5.0481e-04 | norm: 1.7084 | dt: 1698.51ms | img/sec: 2411.53
step 93704 | loss: 2.388905 | lr 5.0962e-04 | norm: 2.1528 | dt: 1648.40ms | img/sec: 2484.83
step 93705 | loss: 2.341476 | lr 5.1442e-04 | norm: 1.9115 | dt: 1653.91ms | img/sec: 2476.56
step 93706 | loss: 2.348732 | lr 5.1923e-04 | norm: 1.7955 | dt: 1647.27ms | img/sec: 2486.54
step 93707 | loss: 2.361690 | lr 5.2404e-04 | norm: 2.0320 | dt: 1651.43ms | img/sec: 2480.28
step 93708 | loss: 2.368287 | lr 5.2885e-04 | norm: 2.1789 | dt: 1722.94ms | img/sec: 2377.33
step 93709 | loss: 2.320374 | lr 5.3365e-04 | norm: 1.7369 | dt: 1655.91ms | img/sec: 2473.56
step 93710 | loss: 2.398177 | lr 5.3846e-04 | norm: 1.7599 | dt: 1715.55ms | img/sec: 2387.58
step 93711 | loss: 2.317646 | lr 5.4327e-04 | norm: 1.7961 | dt: 1655.41ms | img/sec: 2474.32
step 93712 | loss: 2.351926 | lr 5.4808e-04 | norm: 2.1113 | dt: 1651.34ms | img/sec: 2480.41
step 93713 | loss: 2.290759 | lr 5.5288e-04 | norm: 1.7926 | dt: 1655.98ms | img/sec: 2473.46
